id,label
0,neutral
1,neutral
2,neutral
3,neutral
4,neutral
5,neutral
6,negative
7,neutral
8,positive
9,positive
10,neutral
11,neutral
12,negative
13,positive
14,positive
15,neutral
16,neutral
17,negative
18,positive
19,neutral
20,neutral
21,positive
22,neutral
23,positive
24,neutral
25,neutral
26,neutral
27,positive
28,positive
29,positive
30,negative
31,negative
32,neutral
33,positive
34,neutral
35,neutral
36,neutral
37,neutral
38,neutral
39,neutral
40,positive
41,neutral
42,neutral
43,negative
44,positive
45,positive
46,positive
47,neutral
48,negative
49,neutral
50,neutral
51,neutral
52,negative
53,neutral
54,negative
55,neutral
56,neutral
57,negative
58,positive
59,positive
60,positive
61,positive
62,neutral
63,positive
64,neutral
65,neutral
66,positive
67,neutral
68,neutral
69,negative
70,neutral
71,positive
72,neutral
73,neutral
74,neutral
75,negative
76,neutral
77,neutral
78,negative
79,neutral
80,neutral
81,neutral
82,neutral
83,negative
84,neutral
85,neutral
86,neutral
87,negative
88,neutral
89,neutral
90,positive
91,negative
92,positive
93,neutral
94,neutral
95,neutral
96,positive
97,positive
98,neutral
99,neutral
100,neutral
101,neutral
102,neutral
103,neutral
104,positive
105,positive
106,negative
107,positive
108,positive
109,positive
110,neutral
111,positive
112,neutral
113,neutral
114,neutral
115,neutral
116,neutral
117,negative
118,neutral
119,positive
120,positive
121,neutral
122,neutral
123,neutral
124,neutral
125,neutral
126,neutral
127,positive
128,neutral
129,neutral
130,neutral
131,neutral
132,neutral
133,neutral
134,negative
135,neutral
136,neutral
137,negative
138,neutral
139,neutral
140,neutral
141,negative
142,positive
143,positive
144,neutral
145,neutral
146,neutral
147,negative
148,neutral
149,negative
150,neutral
151,positive
152,neutral
153,neutral
154,neutral
155,neutral
156,neutral
157,neutral
158,neutral
159,neutral
160,neutral
161,positive
162,neutral
163,neutral
164,neutral
165,neutral
166,positive
167,negative
168,neutral
169,neutral
170,neutral
171,neutral
172,neutral
173,positive
174,neutral
175,neutral
176,neutral
177,neutral
178,negative
179,neutral
180,neutral
181,negative
182,neutral
183,neutral
184,positive
185,negative
186,neutral
187,positive
188,neutral
189,negative
190,positive
191,positive
192,neutral
193,neutral
194,neutral
195,neutral
196,neutral
197,positive
198,neutral
199,neutral
200,neutral
201,negative
202,neutral
203,neutral
204,neutral
205,neutral
206,negative
207,positive
208,positive
209,positive
210,positive
211,positive
212,neutral
213,neutral
214,negative
215,neutral
216,neutral
217,neutral
218,negative
219,neutral
220,neutral
221,positive
222,neutral
223,positive
224,neutral
225,neutral
226,positive
227,neutral
228,neutral
229,positive
230,neutral
231,negative
232,neutral
233,neutral
234,neutral
235,neutral
236,negative
237,negative
238,neutral
239,neutral
240,neutral
241,negative
242,neutral
243,neutral
244,neutral
245,neutral
246,positive
247,negative
248,neutral
249,neutral
250,neutral
251,negative
252,neutral
253,neutral
254,negative
255,neutral
256,neutral
257,negative
258,negative
259,neutral
260,neutral
261,positive
262,negative
263,neutral
264,neutral
265,neutral
266,neutral
267,neutral
268,neutral
269,neutral
270,positive
271,negative
272,neutral
273,negative
274,neutral
275,positive
276,neutral
277,neutral
278,positive
279,neutral
280,neutral
281,neutral
282,neutral
283,neutral
284,negative
285,neutral
286,neutral
287,neutral
288,neutral
289,neutral
290,neutral
291,positive
292,positive
293,neutral
294,neutral
295,neutral
296,positive
297,positive
298,neutral
299,neutral
300,neutral
301,positive
302,positive
303,positive
304,neutral
305,neutral
306,neutral
307,positive
308,neutral
309,neutral
310,positive
311,neutral
312,neutral
313,positive
314,neutral
315,neutral
316,neutral
317,positive
318,neutral
319,neutral
320,neutral
321,neutral
322,negative
323,neutral
324,negative
325,positive
326,neutral
327,neutral
328,negative
329,positive
330,positive
331,negative
332,neutral
333,positive
334,neutral
335,negative
336,positive
337,neutral
338,neutral
339,neutral
340,neutral
341,neutral
342,neutral
343,positive
344,negative
345,neutral
346,neutral
347,positive
348,neutral
349,positive
350,neutral
351,neutral
352,neutral
353,neutral
354,positive
355,positive
356,positive
357,neutral
358,neutral
359,neutral
360,negative
361,neutral
362,neutral
363,neutral
364,negative
365,positive
366,neutral
367,neutral
368,negative
369,neutral
370,positive
371,positive
372,neutral
373,neutral
374,positive
375,neutral
376,negative
377,neutral
378,neutral
379,neutral
380,negative
381,neutral
382,neutral
383,negative
384,neutral
385,neutral
386,neutral
387,neutral
388,positive
389,negative
390,neutral
391,negative
392,positive
393,neutral
394,negative
395,negative
396,neutral
397,neutral
398,positive
399,neutral
400,negative
401,negative
402,neutral
403,neutral
404,positive
405,positive
406,neutral
407,neutral
408,negative
409,positive
410,negative
411,positive
412,neutral
413,neutral
414,negative
415,neutral
416,positive
417,negative
418,neutral
419,neutral
420,positive
421,positive
422,neutral
423,positive
424,neutral
425,positive
426,neutral
427,neutral
428,negative
429,neutral
430,positive
431,neutral
432,neutral
433,negative
434,neutral
435,neutral
436,neutral
437,neutral
438,neutral
439,neutral
440,neutral
441,negative
442,negative
443,neutral
444,neutral
445,positive
446,neutral
447,positive
448,neutral
449,negative
450,negative
451,neutral
452,neutral
453,negative
454,neutral
455,neutral
456,negative
457,negative
458,positive
459,positive
460,neutral
461,neutral
462,neutral
463,neutral
464,negative
465,neutral
466,neutral
467,negative
468,neutral
469,neutral
470,negative
471,neutral
472,positive
473,neutral
474,positive
475,negative
476,neutral
477,negative
478,neutral
479,neutral
480,neutral
481,neutral
482,neutral
483,positive
484,neutral
485,positive
486,neutral
487,positive
488,positive
489,neutral
490,neutral
491,negative
492,neutral
493,neutral
494,neutral
495,neutral
496,negative
497,negative
498,neutral
499,neutral
500,positive
501,neutral
502,negative
503,positive
504,neutral
505,positive
506,positive
507,neutral
508,neutral
509,positive
510,neutral
511,neutral
512,neutral
513,neutral
514,neutral
515,neutral
516,neutral
517,negative
518,neutral
519,neutral
520,neutral
521,positive
522,positive
523,neutral
524,neutral
525,neutral
526,neutral
527,positive
528,neutral
529,neutral
530,neutral
531,positive
532,neutral
